year,round,date,circuit_name,driver_code,driver_number,team_name,grid_position,classified_position,status,points_real
2000,7,2000-06-04 00:00:00+00:00,Monaco Grand Prix,SCH,9,Williams,9.0,R,Spun off,0.0
2000,7,2000-06-04 00:00:00+00:00,Monaco Grand Prix,TRU,6,Jordan,2.0,R,Gearbox,0.0
2000,7,2000-06-04 00:00:00+00:00,Monaco Grand Prix,WUR,12,Benetton,12.0,R,Spun off,0.0
2000,7,2000-06-04 00:00:00+00:00,Monaco Grand Prix,BUT,10,Williams,14.0,R,Engine,0.0
2000,7,2000-06-04 00:00:00+00:00,Monaco Grand Prix,DLR,18,Arrows,16.0,W,Not restarted,0.0
2000,8,2000-06-18 00:00:00+00:00,Canadian Grand Prix,MSC,3,Ferrari,1.0,1,Finished,10.0
2000,8,2000-06-18 00:00:00+00:00,Canadian Grand Prix,BUT,10,Williams,18.0,11,+1 Lap,0.0
2000,8,2000-06-18 00:00:00+00:00,Canadian Grand Prix,SCH,9,Williams,12.0,14,Collision,0.0
2000,8,2000-06-18 00:00:00+00:00,Canadian Grand Prix,VIL,22,BAR,6.0,15,Collision,0.0
2000,8,2000-06-18 00:00:00+00:00,Canadian Grand Prix,BAR,4,Ferrari,3.0,2,Finished,6.0
2000,8,2000-06-18 00:00:00+00:00,Canadian Grand Prix,FIS,11,Benetton,10.0,3,Finished,4.0
2000,8,2000-06-18 00:00:00+00:00,Canadian Grand Prix,,1,McLaren,4.0,4,Finished,3.0
2000,8,2000-06-18 00:00:00+00:00,Canadian Grand Prix,TRU,6,Jordan,7.0,6,Finished,1.0
2000,8,2000-06-18 00:00:00+00:00,Canadian Grand Prix,COU,2,McLaren,2.0,7,Finished,0.0
2000,8,2000-06-18 00:00:00+00:00,Canadian Grand Prix,ZON,23,BAR,8.0,8,Finished,0.0
2000,8,2000-06-18 00:00:00+00:00,Canadian Grand Prix,WUR,12,Benetton,14.0,9,Finished,0.0
2000,8,2000-06-18 00:00:00+00:00,Canadian Grand Prix,DLR,18,Arrows,9.0,R,Collision,0.0
2000,8,2000-06-18 00:00:00+00:00,Canadian Grand Prix,HEI,15,Prost,21.0,R,Engine,0.0
2000,9,2000-07-02 00:00:00+00:00,French Grand Prix,COU,2,McLaren,2.0,1,Finished,10.0
2000,9,2000-07-02 00:00:00+00:00,French Grand Prix,HEI,15,Prost,16.0,12,+1 Lap,0.0
2000,9,2000-07-02 00:00:00+00:00,French Grand Prix,,1,McLaren,4.0,2,Finished,6.0
2000,9,2000-07-02 00:00:00+00:00,French Grand Prix,BAR,4,Ferrari,3.0,3,Finished,4.0
2000,9,2000-07-02 00:00:00+00:00,French Grand Prix,VIL,22,BAR,7.0,4,Finished,3.0
2000,9,2000-07-02 00:00:00+00:00,French Grand Prix,SCH,9,Williams,5.0,5,Finished,2.0
2000,9,2000-07-02 00:00:00+00:00,French Grand Prix,TRU,6,Jordan,9.0,6,Finished,1.0
2000,9,2000-07-02 00:00:00+00:00,French Grand Prix,BUT,10,Williams,10.0,8,+1 Lap,0.0
2000,9,2000-07-02 00:00:00+00:00,French Grand Prix,FIS,11,Benetton,14.0,9,+1 Lap,0.0
2000,9,2000-07-02 00:00:00+00:00,French Grand Prix,MSC,3,Ferrari,1.0,R,Engine,0.0
2000,9,2000-07-02 00:00:00+00:00,French Grand Prix,DLR,18,Arrows,13.0,R,Transmission,0.0
2000,9,2000-07-02 00:00:00+00:00,French Grand Prix,WUR,12,Benetton,17.0,R,Spun off,0.0
2000,9,2000-07-02 00:00:00+00:00,French Grand Prix,ZON,23,BAR,19.0,R,Spun off,0.0
2000,10,2000-07-16 00:00:00+00:00,Austrian Grand Prix,,1,McLaren,1.0,1,Finished,10.0
2000,10,2000-07-16 00:00:00+00:00,Austrian Grand Prix,WUR,12,Benetton,14.0,10,+1 Lap,0.0
2000,10,2000-07-16 00:00:00+00:00,Austrian Grand Prix,COU,2,McLaren,2.0,2,Finished,6.0
2000,10,2000-07-16 00:00:00+00:00,Austrian Grand Prix,BAR,4,Ferrari,3.0,3,Finished,4.0
2000,10,2000-07-16 00:00:00+00:00,Austrian Grand Prix,VIL,22,BAR,7.0,4,+1 Lap,3.0
2000,10,2000-07-16 00:00:00+00:00,Austrian Grand Prix,BUT,10,Williams,18.0,5,+1 Lap,2.0
2000,10,2000-07-16 00:00:00+00:00,Austrian Grand Prix,ZON,23,BAR,6.0,R,Engine,0.0
2000,10,2000-07-16 00:00:00+00:00,Austrian Grand Prix,SCH,9,Williams,19.0,R,Brakes,0.0
2000,10,2000-07-16 00:00:00+00:00,Austrian Grand Prix,HEI,15,Prost,13.0,R,Collision,0.0
2000,10,2000-07-16 00:00:00+00:00,Austrian Grand Prix,DLR,18,Arrows,12.0,R,Gearbox,0.0
2000,10,2000-07-16 00:00:00+00:00,Austrian Grand Prix,MSC,3,Ferrari,4.0,R,Collision,0.0
2000,10,2000-07-16 00:00:00+00:00,Austrian Grand Prix,TRU,6,Jordan,5.0,R,Collision,0.0
2000,10,2000-07-16 00:00:00+00:00,Austrian Grand Prix,FIS,11,Benetton,8.0,R,Collision,0.0
2000,11,2000-07-30 00:00:00+00:00,German Grand Prix,BAR,4,Ferrari,18.0,1,Finished,10.0
2000,11,2000-07-30 00:00:00+00:00,German Grand Prix,HEI,15,Prost,13.0,12,Alternator,0.0
2000,11,2000-07-30 00:00:00+00:00,German Grand Prix,,1,McLaren,4.0,2,Finished,6.0
2000,11,2000-07-30 00:00:00+00:00,German Grand Prix,COU,2,McLaren,1.0,3,Finished,4.0
2000,11,2000-07-30 00:00:00+00:00,German Grand Prix,BUT,10,Williams,16.0,4,Finished,3.0
2000,11,2000-07-30 00:00:00+00:00,German Grand Prix,DLR,18,Arrows,5.0,6,Finished,1.0
2000,11,2000-07-30 00:00:00+00:00,German Grand Prix,SCH,9,Williams,14.0,7,Finished,0.0
2000,11,2000-07-30 00:00:00+00:00,German Grand Prix,VIL,22,BAR,9.0,8,Finished,0.0
2000,11,2000-07-30 00:00:00+00:00,German Grand Prix,TRU,6,Jordan,6.0,9,Finished,0.0
2000,11,2000-07-30 00:00:00+00:00,German Grand Prix,ZON,23,BAR,12.0,R,Spun off,0.0
2000,11,2000-07-30 00:00:00+00:00,German Grand Prix,WUR,12,Benetton,7.0,R,Electrical,0.0
2000,11,2000-07-30 00:00:00+00:00,German Grand Prix,MSC,3,Ferrari,2.0,R,Collision,0.0
2000,11,2000-07-30 00:00:00+00:00,German Grand Prix,FIS,11,Benetton,3.0,R,Collision,0.0
2000,12,2000-08-13 00:00:00+00:00,Hungarian Grand Prix,,1,McLaren,3.0,1,Finished,10.0
2000,12,2000-08-13 00:00:00+00:00,Hungarian Grand Prix,WUR,12,Benetton,11.0,11,+1 Lap,0.0
2000,12,2000-08-13 00:00:00+00:00,Hungarian Grand Prix,VIL,22,BAR,16.0,12,+2 Laps,0.0
2000,12,2000-08-13 00:00:00+00:00,Hungarian Grand Prix,ZON,23,BAR,18.0,14,+2 Laps,0.0
2000,12,2000-08-13 00:00:00+00:00,Hungarian Grand Prix,DLR,18,Arrows,15.0,16,+4 Laps,0.0
2000,12,2000-08-13 00:00:00+00:00,Hungarian Grand Prix,MSC,3,Ferrari,1.0,2,Finished,6.0
2000,12,2000-08-13 00:00:00+00:00,Hungarian Grand Prix,COU,2,McLaren,2.0,3,Finished,4.0
2000,12,2000-08-13 00:00:00+00:00,Hungarian Grand Prix,BAR,4,Ferrari,5.0,4,Finished,3.0
2000,12,2000-08-13 00:00:00+00:00,Hungarian Grand Prix,SCH,9,Williams,4.0,5,Finished,2.0
